,date,NOx,NO_2,NOx,SO_2
570,21.05.2011,0,12,13,0
571,22.05.2011,0,8,8,2
572,23.05.2011,2,19,21,1
573,24.05.2011,2,20,24,2
574,25.05.2011,2,21,24,2
575,26.05.2011,1,13,15,2
576,27.05.2011,2,20,24,1
577,28.05.2011,0,12,12,1
578,29.05.2011,0,12,12,0
579,30.05.2011,2,16,19,1
580,31.05.2011,1,13,14,2
581,01.06.2011,2,11,13,0
582,02.06.2011,1,7,8,0
583,03.06.2011,1,10,12,1
584,04.06.2011,1,8,9,2
585,05.06.2011,0,7,7,2
586,06.06.2011,1,15,16,2
587,07.06.2011,1,17,18,1
588,08.06.2011,1,14,17,0
589,09.06.2011,1,15,17,3
590,10.06.2011,1,16,18,0
591,11.06.2011,1,14,16,1
592,12.06.2011,0,9,9,0
593,13.06.2011,1,8,9,1
594,14.06.2011,3,24,29,1
595,15.06.2011,1,21,23,2
596,16.06.2011,1,19,20,1
597,17.06.2011,1,11,13,
598,18.06.2011,1,10,12,
599,19.06.2011,0,7,8,
600,20.06.2011,3,19,22,
601,21.06.2011,4,23,29,1
602,22.06.2011,3,17,21,1
603,23.06.2011,2,18,21,1
604,24.06.2011,1,16,18,1
605,25.06.2011,1,10,11,1
606,26.06.2011,1,10,12,1
607,27.06.2011,3,11,15,2
608,28.06.2011,1,9,11,1
609,29.06.2011,1,13,14,1
610,30.06.2011,3,18,22,0
611,01.07.2011,2,14,17,1
612,02.07.2011,1,10,10,0
613,03.07.2011,1,11,13,0
614,04.07.2011,4,19,25,0
615,05.07.2011,1,12,14,0
616,06.07.2011,1,10,12,0
617,07.07.2011,2,19,21,0
618,08.07.2011,2,20,23,1
619,09.07.2011,1,13,15,1
620,10.07.2011,1,6,7,0
621,11.07.2011,2,17,20,0
622,12.07.2011,6,13,22,1
623,13.07.2011,1,10,11,
624,14.07.2011,1,13,15,0
625,15.07.2011,1,14,15,0
626,16.07.2011,1,13,14,1
627,17.07.2011,0,8,8,2
628,18.07.2011,2,11,14,1
629,19.07.2011,2,14,17,2
630,20.07.2011,1,13,14,2
631,21.07.2011,1,16,18,0
632,22.07.2011,1,9,11,0
633,23.07.2011,1,7,9,0
634,24.07.2011,1,8,9,0
635,25.07.2011,3,17,21,0
636,26.07.2011,2,14,17,1
637,27.07.2011,1,13,15,0
638,28.07.2011,6,34,43,0
639,29.07.2011,1,18,20,0
640,30.07.2011,1,10,12,0
641,31.07.2011,1,10,12,0
642,01.08.2011,4,19,25,0
643,02.08.2011,2,9,12,0
644,03.08.2011,2,9,11,1
645,04.08.2011,1,11,12,1
646,05.08.2011,2,16,19,0
647,06.08.2011,1,7,8,1
648,07.08.2011,1,7,8,0
649,08.08.2011,3,14,18,1
650,09.08.2011,1,8,10,0
651,10.08.2011,1,9,11,0
652,11.08.2011,2,17,20,1
653,12.08.2011,3,19,23,0
654,13.08.2011,3,14,18,0
655,14.08.2011,1,9,11,1
656,15.08.2011,2,17,21,0
657,16.08.2011,3,20,24,0
658,17.08.2011,5,21,28,1
659,18.08.2011,3,16,20,2
660,19.08.2011,1,16,18,0
661,20.08.2011,1,13,15,1
662,21.08.2011,1,12,13,2
663,22.08.2011,2,16,19,2
664,23.08.2011,1,11,12,1
665,24.08.2011,3,20,25,2
666,25.08.2011,2,16,19,0
667,26.08.2011,0,6,6,1
668,27.08.2011,1,9,10,1
669,28.08.2011,1,8,9,0
670,29.08.2011,2,17,20,1
671,30.08.2011,2,14,16,0
672,31.08.2011,8,26,39,1
673,01.09.2011,2,23,26,1
674,02.09.2011,3,18,24,1
675,03.09.2011,1,11,13,2
676,04.09.2011,1,9,10,3
677,05.09.2011,3,25,30,1
678,06.09.2011,3,16,20,1
679,07.09.2011,2,13,15,1
680,08.09.2011,2,16,20,1
681,09.09.2011,4,22,28,1
682,10.09.2011,5,12,19,0
683,11.09.2011,1,8,9,1
684,12.09.2011,3,13,17,1
685,13.09.2011,2,13,16,1
686,14.09.2011,1,17,19,1
687,15.09.2011,2,16,18,2
688,16.09.2011,4,26,32,3
689,17.09.2011,2,16,18,2
690,18.09.2011,1,11,14,1
691,19.09.2011,7,22,33,2
692,20.09.2011,19,24,54,1
693,21.09.2011,14,26,47,1
694,22.09.2011,3,24,29,0
695,23.09.2011,9,30,43,1
696,24.09.2011,14,20,41,1
697,25.09.2011,2,16,18,2
698,26.09.2011,18,29,55,1
699,27.09.2011,18,28,55,1
700,28.09.2011,25,25,63,1
701,29.09.2011,56,40,126,4
702,30.09.2011,44,32,100,2
703,01.10.2011,28,23,66,2
704,02.10.2011,15,20,42,3
705,03.10.2011,5,19,27,1
706,04.10.2011,2,25,27,2
707,05.10.2011,2,20,24,1
708,06.10.2011,2,15,19,1
709,07.10.2011,5,22,29,1
710,08.10.2011,1,11,13,5
711,09.10.2011,2,13,16,3
712,10.10.2011,6,19,29,0
713,11.10.2011,2,25,28,1
714,12.10.2011,3,22,26,3
715,13.10.2011,5,21,30,1
716,14.10.2011,19,23,53,2
717,15.10.2011,24,18,54,2
718,16.10.2011,2,13,16,2
719,17.10.2011,15,29,51,4
720,18.10.2011,5,23,31,2
721,19.10.2011,5,25,33,4
722,20.10.2011,13,33,54,2
723,21.10.2011,29,36,81,1
724,22.10.2011,18,20,47,2
725,23.10.2011,1,13,14,3
726,24.10.2011,1,9,11,2
727,25.10.2011,2,11,13,4
728,26.10.2011,18,21,48,2
729,27.10.2011,6,18,28,1
730,28.10.2011,17,24,49,3
731,29.10.2011,33,19,69,2
732,30.10.2011,12,20,38,3
733,31.10.2011,36,31,86,4
734,01.11.2011,7,23,33,2
735,02.11.2011,12,20,38,
736,03.11.2011,4,26,32,
737,04.11.2011,7,24,34,2
738,05.11.2011,3,20,24,3
739,06.11.2011,2,17,19,3
740,07.11.2011,13,27,46,3
741,08.11.2011,15,27,50,4
742,09.11.2011,8,24,36,1
743,10.11.2011,8,19,32,1
744,11.11.2011,2,12,15,1
745,12.11.2011,3,22,26,4
746,13.11.2011,15,27,50,3
747,14.11.2011,33,31,81,4
748,15.11.2011,2,14,17,1
749,16.11.2011,4,18,23,1
750,17.11.2011,12,34,52,4
751,18.11.2011,30,42,89,4
752,19.11.2011,27,26,67,2
753,20.11.2011,20,23,54,2
754,21.11.2011,18,23,51,3
755,22.11.2011,4,22,28,5
756,23.11.2011,18,27,55,3
757,24.11.2011,62,33,127,6
758,25.11.2011,25,37,75,5
759,26.11.2011,3,24,28,1
760,27.11.2011,1,7,9,0
761,28.11.2011,15,35,58,2
762,29.11.2011,20,37,68,4
763,30.11.2011,24,42,78,5
764,01.12.2011,16,32,57,2
765,02.12.2011,2,26,30,3
766,03.12.2011,1,15,17,3
767,04.12.2011,1,16,18,5
768,05.12.2011,2,19,21,2
769,06.12.2011,2,22,25,1
770,07.12.2011,3,20,24,1
771,08.12.2011,3,22,27,4
772,09.12.2011,1,18,20,1
773,10.12.2011,1,19,21,
774,11.12.2011,,,,
775,12.12.2011,6,31,40,
776,13.12.2011,2,22,24,3
777,14.12.2011,2,22,25,3
778,15.12.2011,3,24,28,7
779,16.12.2011,1,15,16,1
780,17.12.2011,2,23,26,10
781,18.12.2011,1,12,13,2
782,19.12.2011,5,27,34,4
783,20.12.2011,3,27,31,5
784,21.12.2011,5,30,37,1
785,22.12.2011,8,32,44,4
786,23.12.2011,16,33,58,3
787,24.12.2011,2,16,19,4
788,25.12.2011,1,12,14,1
789,26.12.2011,1,13,15,1
790,27.12.2011,2,18,20,1
791,28.12.2011,3,21,25,4
792,29.12.2011,1,14,16,1
793,30.12.2011,2,19,21,3
794,31.12.2011,4,21,27,4
795,01.01.2012,7,18,29,4
796,02.01.2012,2,24,27,3
797,03.01.2012,2,16,20,5
798,04.01.2012,1,15,17,1
799,05.01.2012,2,13,15,3
800,06.01.2012,3,19,23,1
801,07.01.2012,2,17,20,4
802,08.01.2012,1,12,13,2
803,09.01.2012,4,25,31,2
804,10.01.2012,2,18,21,2
805,11.01.2012,4,28,34,3
806,12.01.2012,2,19,22,2
807,13.01.2012,2,22,25,6
808,14.01.2012,1,11,13,0
809,15.01.2012,3,20,25,0
810,16.01.2012,12,40,58,2
811,17.01.2012,3,27,32,1
812,18.01.2012,31,53,101,8
813,19.01.2012,7,30,41,4
814,20.01.2012,2,24,27,3
815,21.01.2012,2,17,19,3
816,22.01.2012,1,9,10,2
817,23.01.2012,12,33,52,2
