,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2010-10-05,37,44,46,113,Karl-Marx-Straße
2010-10-06,,47,50,122,Karl-Marx-Straße
2010-10-07,,41,48,111,Karl-Marx-Straße
2010-10-08,,17,33,59,Karl-Marx-Straße
2010-10-09,,13,34,54,Karl-Marx-Straße
2010-10-10,,15,44,66,Karl-Marx-Straße
2010-10-11,,32,56,105,Karl-Marx-Straße
2010-10-12,49,123,90,278,Karl-Marx-Straße
2010-10-13,30,60,71,162,Karl-Marx-Straße
2010-10-14,35,100,69,221,Karl-Marx-Straße
2010-10-15,29,98,64,213,Karl-Marx-Straße
2010-10-16,24,22,30,64,Karl-Marx-Straße
2010-10-17,,12,28,46,Karl-Marx-Straße
2010-10-18,34,90,70,208,Karl-Marx-Straße
2010-10-19,34,67,51,153,Karl-Marx-Straße
2010-10-20,15,68,52,156,Karl-Marx-Straße
2010-10-21,21,67,50,153,Karl-Marx-Straße
2010-10-22,28,67,54,156,Karl-Marx-Straße
2010-10-23,30,59,53,144,Karl-Marx-Straße
2010-10-24,19,26,28,68,Karl-Marx-Straße
2010-10-25,26,93,62,204,Karl-Marx-Straße
2010-10-26,23,90,66,203,Karl-Marx-Straße
2010-10-27,29,76,57,172,Karl-Marx-Straße
2010-10-28,31,87,64,197,Karl-Marx-Straße
2010-10-29,37,87,65,199,Karl-Marx-Straße
2010-10-30,41,64,62,159,Karl-Marx-Straße
2010-10-31,59,33,48,99,Karl-Marx-Straße
2010-11-01,76,83,55,182,Karl-Marx-Straße
2010-11-02,65,82,53,179,Karl-Marx-Straße
2010-11-03,26,53,45,126,Karl-Marx-Straße
2010-11-04,14,54,45,127,Karl-Marx-Straße
2010-11-05,16,58,48,138,Karl-Marx-Straße
2010-11-06,16,62,57,152,Karl-Marx-Straße
2010-11-07,19,25,36,73,Karl-Marx-Straße
2010-11-08,15,26,36,76,Karl-Marx-Straße
2010-11-09,28,70,50,157,Karl-Marx-Straße
2010-11-10,39,110,54,223,Karl-Marx-Straße
2010-11-11,20,61,49,142,Karl-Marx-Straße
2010-11-12,20,52,51,131,Karl-Marx-Straße
2010-11-13,15,65,62,161,Karl-Marx-Straße
2010-11-14,13,38,41,99,Karl-Marx-Straße
2010-11-15,20,62,60,154,Karl-Marx-Straße
2010-11-16,11,16,34,59,Karl-Marx-Straße
2010-11-17,10,16,34,59,Karl-Marx-Straße
2010-11-18,18,42,31,95,Karl-Marx-Straße
2010-11-19,25,116,52,230,Karl-Marx-Straße
2010-11-20,32,97,54,202,Karl-Marx-Straße
2010-11-21,33,21,25,56,Karl-Marx-Straße
2010-11-22,24,31,28,76,Karl-Marx-Straße
2010-11-23,11,78,44,163,Karl-Marx-Straße
2010-11-24,12,72,57,167,Karl-Marx-Straße
2010-11-25,28,107,75,238,Karl-Marx-Straße
2010-11-26,28,56,61,146,Karl-Marx-Straße
2010-11-27,32,83,58,184,Karl-Marx-Straße
2010-11-28,38,15,27,51,Karl-Marx-Straße
2010-11-29,33,17,25,52,Karl-Marx-Straße
2010-11-30,16,17,31,57,Karl-Marx-Straße
2010-12-01,27,14,25,46,Karl-Marx-Straße
2010-12-02,26,78,56,176,Karl-Marx-Straße
2010-12-03,43,124,79,268,Karl-Marx-Straße
2010-12-04,40,81,68,192,Karl-Marx-Straße
2010-12-05,28,37,47,103,Karl-Marx-Straße
2010-12-06,35,125,79,270,Karl-Marx-Straße
2010-12-07,38,35,46,100,Karl-Marx-Straße
2010-12-08,45,23,39,74,Karl-Marx-Straße
2010-12-09,23,69,60,167,Karl-Marx-Straße
2010-12-10,20,93,75,217,Karl-Marx-Straße
2010-12-11,14,51,53,131,Karl-Marx-Straße
2010-12-12,8,12,29,48,Karl-Marx-Straße
2010-12-13,13,88,64,199,Karl-Marx-Straße
2010-12-14,11,31,47,94,Karl-Marx-Straße
2010-12-15,17,33,44,95,Karl-Marx-Straße
2010-12-16,30,69,55,160,Karl-Marx-Straße
2010-12-17,27,100,71,223,Karl-Marx-Straße
2010-12-18,30,76,68,184,Karl-Marx-Straße
2010-12-19,48,48,56,129,Karl-Marx-Straße
2010-12-20,41,123,72,259,Karl-Marx-Straße
2010-12-21,47,87,64,197,Karl-Marx-Straße
2010-12-22,89,32,50,99,Karl-Marx-Straße
2010-12-23,99,34,42,94,Karl-Marx-Straße
2010-12-24,20,12,22,40,Karl-Marx-Straße
2010-12-25,13,15,25,49,Karl-Marx-Straße
2010-12-26,20,31,42,89,Karl-Marx-Straße
2010-12-27,26,69,60,165,Karl-Marx-Straße
2010-12-28,34,21,33,65,Karl-Marx-Straße
2010-12-29,52,71,57,166,Karl-Marx-Straße
2010-12-30,54,102,69,224,Karl-Marx-Straße
2010-12-31,55,78,65,184,Karl-Marx-Straße
2011-01-01,87,31,37,85,Karl-Marx-Straße
2011-01-02,22,46,51,122,Karl-Marx-Straße
2011-01-03,25,94,73,216,Karl-Marx-Straße
2011-01-04,31,105,73,234,Karl-Marx-Straße
2011-01-05,34,75,68,183,Karl-Marx-Straße
2011-01-06,30,65,61,159,Karl-Marx-Straße
2011-01-07,15,85,60,190,Karl-Marx-Straße
2011-01-08,20,80,58,180,Karl-Marx-Straße
2011-01-09,17,57,55,143,Karl-Marx-Straße
2011-01-10,29,102,75,230,Karl-Marx-Straße
2011-01-11,42,80,52,175,Karl-Marx-Straße
2011-01-12,21,66,54,155,Karl-Marx-Straße
2011-01-13,18,100,54,206,Karl-Marx-Straße
2011-01-14,15,86,55,186,Karl-Marx-Straße
2011-01-15,29,57,48,136,Karl-Marx-Straße
2011-01-16,20,35,39,93,Karl-Marx-Straße
2011-01-17,42,105,62,222,Karl-Marx-Straße
2011-01-18,37,73,64,176,Karl-Marx-Straße
2011-01-19,26,75,65,179,Karl-Marx-Straße
2011-01-20,16,18,42,70,Karl-Marx-Straße
2011-01-21,25,64,54,151,Karl-Marx-Straße
2011-01-22,31,72,54,163,Karl-Marx-Straße
2011-01-23,15,22,34,69,Karl-Marx-Straße
2011-01-24,17,74,52,165,Karl-Marx-Straße
2011-01-25,17,65,58,158,Karl-Marx-Straße
2011-01-26,11,40,41,103,Karl-Marx-Straße
2011-01-27,12,15,35,58,Karl-Marx-Straße
2011-01-28,34,32,44,92,Karl-Marx-Straße
2011-01-29,60,93,68,210,Karl-Marx-Straße
2011-01-30,72,112,66,237,Karl-Marx-Straße
2011-01-31,49,92,62,202,Karl-Marx-Straße
2011-02-01,68,85,55,184,Karl-Marx-Straße
2011-02-02,54,95,67,212,Karl-Marx-Straße
2011-02-03,33,87,60,193,Karl-Marx-Straße
2011-02-04,21,43,45,112,Karl-Marx-Straße
2011-02-05,15,27,30,72,Karl-Marx-Straße
2011-02-06,11,23,27,62,Karl-Marx-Straße
2011-02-07,31,58,50,139,Karl-Marx-Straße
2011-02-08,26,55,51,135,Karl-Marx-Straße
2011-02-09,34,72,63,174,Karl-Marx-Straße
2011-02-10,43,86,65,197,Karl-Marx-Straße
2011-02-11,25,64,55,153,Karl-Marx-Straße
2011-02-12,16,23,31,67,Karl-Marx-Straße
2011-02-13,23,14,24,46,Karl-Marx-Straße
2011-02-14,33,20,31,62,Karl-Marx-Straße
2011-02-15,42,25,35,74,Karl-Marx-Straße
2011-02-16,49,30,38,84,Karl-Marx-Straße
2011-02-17,60,18,34,61,Karl-Marx-Straße
2011-02-18,60,23,34,69,Karl-Marx-Straße
2011-02-19,34,10,25,40,Karl-Marx-Straße
2011-02-20,14,7,17,27,Karl-Marx-Straße
2011-02-21,28,16,30,55,Karl-Marx-Straße
2011-02-22,54,21,40,72,Karl-Marx-Straße
2011-02-23,58,46,58,129,Karl-Marx-Straße
2011-02-24,78,33,55,107,Karl-Marx-Straße
2011-02-25,96,36,60,115,Karl-Marx-Straße
2011-02-26,85,25,51,90,Karl-Marx-Straße
2011-02-27,87,17,45,71,Karl-Marx-Straße
2011-02-28,94,42,57,121,Karl-Marx-Straße
2011-03-01,75,18,46,74,Karl-Marx-Straße
2011-03-02,70,15,46,70,Karl-Marx-Straße
2011-03-03,69,18,58,87,Karl-Marx-Straße
2011-03-04,93,89,98,234,Karl-Marx-Straße
2011-03-05,49,57,65,151,Karl-Marx-Straße
2011-03-06,17,12,31,50,Karl-Marx-Straße
2011-03-07,25,69,67,173,Karl-Marx-Straße
2011-03-08,38,75,75,189,Karl-Marx-Straße
2011-03-09,52,57,65,153,Karl-Marx-Straße
2011-03-10,31,54,50,133,Karl-Marx-Straße
2011-03-11,24,62,60,155,Karl-Marx-Straße
2011-03-12,37,56,63,150,Karl-Marx-Straße
2011-03-13,47,44,74,141,Karl-Marx-Straße
2011-03-14,60,80,85,207,Karl-Marx-Straße
2011-03-15,68,15,30,52,Karl-Marx-Straße
2011-03-16,41,9,24,39,Karl-Marx-Straße
2011-03-17,30,16,34,59,Karl-Marx-Straße
2011-03-18,27,68,52,156,Karl-Marx-Straße
