,date,NOx,NO_2,NOx
698,26.09.2011,104,131,290
699,27.09.2011,58,79,168
700,28.09.2011,146,115,339
701,29.09.2011,149,127,355
702,30.09.2011,198,145,447
703,01.10.2011,148,124,350
704,02.10.2011,104,115,274
705,03.10.2011,37,80,137
706,04.10.2011,31,62,108
707,05.10.2011,33,54,104
708,06.10.2011,39,50,109
709,07.10.2011,43,51,117
710,08.10.2011,13,28,48
711,09.10.2011,26,38,78
712,10.10.2011,49,48,123
713,11.10.2011,33,56,107
714,12.10.2011,24,42,79
715,13.10.2011,32,53,102
716,14.10.2011,93,85,228
717,15.10.2011,107,88,252
718,16.10.2011,65,69,169
719,17.10.2011,98,87,237
720,18.10.2011,52,61,140
721,19.10.2011,48,54,127
722,20.10.2011,42,54,119
723,21.10.2011,98,97,247
724,22.10.2011,99,85,236
725,23.10.2011,62,65,160
726,24.10.2011,57,59,147
727,25.10.2011,63,69,166
728,26.10.2011,110,78,246
729,27.10.2011,95,78,224
730,28.10.2011,119,92,274
731,29.10.2011,139,87,300
732,30.10.2011,67,58,160
733,31.10.2011,101,88,243
734,01.11.2011,81,84,208
735,02.11.2011,104,82,241
736,03.11.2011,100,89,242
737,04.11.2011,101,100,255
738,05.11.2011,69,73,178
739,06.11.2011,94,87,230
740,07.11.2011,102,94,250
741,08.11.2011,114,101,274
742,09.11.2011,101,79,234
743,10.11.2011,82,71,196
744,11.11.2011,74,70,183
745,12.11.2011,83,77,204
746,13.11.2011,125,96,287
747,14.11.2011,136,98,305
748,15.11.2011,68,71,174
749,16.11.2011,81,81,205
750,17.11.2011,88,74,208
751,18.11.2011,109,80,247
752,19.11.2011,130,79,277
753,20.11.2011,95,72,217
754,21.11.2011,94,87,231
755,22.11.2011,97,80,228
756,23.11.2011,135,81,288
757,24.11.2011,137,78,287
758,25.11.2011,75,75,189
759,26.11.2011,29,42,87
760,27.11.2011,15,24,48
761,28.11.2011,51,63,141
762,29.11.2011,85,79,209
763,30.11.2011,55,67,150
764,01.12.2011,87,70,202
765,02.12.2011,41,55,118
766,03.12.2011,36,41,96
767,04.12.2011,26,36,75
768,05.12.2011,26,42,83
769,06.12.2011,36,51,106
770,07.12.2011,60,63,155
771,08.12.2011,42,51,115
772,09.12.2011,30,46,92
773,10.12.2011,28,41,84
774,11.12.2011,52,55,134
775,12.12.2011,70,70,178
776,13.12.2011,58,66,154
777,14.12.2011,56,67,153
778,15.12.2011,70,72,179
779,16.12.2011,59,67,158
780,17.12.2011,13,24,45
781,18.12.2011,15,27,49
