,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2011-07-11,2,19,22,Schöneberg
2011-07-12,14,33,53,Schöneberg
2011-07-13,1,23,25,Schöneberg
2011-07-14,1,16,18,Schöneberg
2011-07-15,1,15,17,Schöneberg
2011-07-16,1,16,17,Schöneberg
2011-07-17,1,9,10,Schöneberg
2011-07-18,3,16,20,Schöneberg
2011-07-19,4,17,23,Schöneberg
2011-07-20,1,12,13,Schöneberg
2011-07-21,1,23,25,Schöneberg
2011-07-22,1,10,12,Schöneberg
2011-07-23,1,9,11,Schöneberg
2011-07-24,1,12,14,Schöneberg
2011-07-25,3,20,25,Schöneberg
2011-07-26,6,32,41,Schöneberg
2011-07-27,5,22,30,Schöneberg
2011-07-28,5,33,41,Schöneberg
2011-07-29,1,17,19,Schöneberg
2011-07-30,2,12,14,Schöneberg
2011-07-31,1,10,12,Schöneberg
2011-08-01,4,20,27,Schöneberg
2011-08-02,8,28,41,Schöneberg
2011-08-03,5,27,34,Schöneberg
2011-08-04,4,32,39,Schöneberg
2011-08-05,5,26,34,Schöneberg
2011-08-06,5,23,30,Schöneberg
2011-08-07,1,15,16,Schöneberg
2011-08-08,4,19,25,Schöneberg
2011-08-09,1,11,13,Schöneberg
2011-08-10,1,10,12,Schöneberg
2011-08-11,3,20,24,Schöneberg
2011-08-12,2,23,27,Schöneberg
2011-08-13,3,22,26,Schöneberg
2011-08-14,2,21,24,Schöneberg
2011-08-15,4,22,28,Schöneberg
2011-08-16,3,25,30,Schöneberg
2011-08-17,10,44,59,Schöneberg
2011-08-18,12,46,64,Schöneberg
2011-08-19,2,21,24,Schöneberg
2011-08-20,1,16,18,Schöneberg
2011-08-21,1,28,30,Schöneberg
2011-08-22,2,19,21,Schöneberg
2011-08-23,3,30,35,Schöneberg
2011-08-24,6,31,40,Schöneberg
2011-08-25,2,26,30,Schöneberg
2011-08-26,3,21,26,Schöneberg
2011-08-27,1,14,15,Schöneberg
2011-08-28,1,14,15,Schöneberg
2011-08-29,3,20,25,Schöneberg
2011-08-30,2,16,19,Schöneberg
2011-08-31,5,23,31,Schöneberg
2011-09-01,4,23,29,Schöneberg
2011-09-02,5,31,39,Schöneberg
2011-09-03,3,29,34,Schöneberg
2011-09-04,2,23,26,Schöneberg
2011-09-05,3,26,30,Schöneberg
2011-09-06,4,23,28,Schöneberg
2011-09-07,2,16,19,Schöneberg
2011-09-08,3,16,21,Schöneberg
2011-09-09,5,26,34,Schöneberg
2011-09-10,11,25,42,Schöneberg
2011-09-11,3,16,20,Schöneberg
2011-09-12,3,17,21,Schöneberg
2011-09-13,2,16,19,Schöneberg
2011-09-14,1,17,19,Schöneberg
